"filename", "language", "YAML", "Groovy", "Properties", "Dart", "Swift", "C++", "XML", "JSON", "Markdown", "comment", "blank", "total"
"d:\Code\Android\week3\moovio\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 7, 17
"d:\Code\Android\week3\moovio\android\app\build.gradle", "Groovy", 0, 49, 0, 0, 0, 0, 0, 0, 0, 3, 12, 64
"d:\Code\Android\week3\moovio\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\Code\Android\week3\moovio\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 16, 6, 55
"d:\Code\Android\week3\moovio\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Code\Android\week3\moovio\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Code\Android\week3\moovio\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\Code\Android\week3\moovio\android\build.gradle", "Groovy", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Code\Android\week3\moovio\android\gradle.properties", "Properties", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Code\Android\week3\moovio\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Code\Android\week3\moovio\android\settings.gradle", "Groovy", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 5, 16
"d:\Code\Android\week3\moovio\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Code\Android\week3\moovio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"d:\Code\Android\week3\moovio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"d:\Code\Android\week3\moovio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"d:\Code\Android\week3\moovio\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\Code\Android\week3\moovio\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Code\Android\week3\moovio\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\Code\Android\week3\moovio\lib\brains\fetchTopBrain.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 7, 14, 128
"d:\Code\Android\week3\moovio\lib\components\MovieBox.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 68
"d:\Code\Android\week3\moovio\lib\components\MovieBoxView.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"d:\Code\Android\week3\moovio\lib\components\featured_post.dart", "Dart", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 3, 123
"d:\Code\Android\week3\moovio\lib\components\navBarBottom.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 4, 73
"d:\Code\Android\week3\moovio\lib\constants.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Code\Android\week3\moovio\lib\main.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Code\Android\week3\moovio\lib\screens\loading_screen.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 8, 62
"d:\Code\Android\week3\moovio\lib\screens\main_screen.dart", "Dart", 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 7, 131
"d:\Code\Android\week3\moovio\lib\screens\movie_details.dart", "Dart", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 5, 97
"d:\Code\Android\week3\moovio\lib\screens\view_screen.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 2, 9, 70
"d:\Code\Android\week3\moovio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 4, 11
"d:\Code\Android\week3\moovio\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Code\Android\week3\moovio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 69
"d:\Code\Android\week3\moovio\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 339, 0, 0, 0, 1, 340
"d:\Code\Android\week3\moovio\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Code\Android\week3\moovio\pubspec.yaml", "YAML", 21, 0, 0, 0, 0, 0, 0, 0, 0, 44, 10, 75
"Total", "-", 21, 84, 9, 736, 36, 1, 454, 213, 13, 105, 134, 1806